"ogc_fid(ogc_fid)","occurrence(occurrence)","scientific(scientific)","scientif_1(scientif_1)","vernacular(vernacular)","kingdom(kingdom)","phylum(phylum)","class(class)","order(order)","family(family)","genus(genus)","specificep(specificep)","infraspeci(infraspeci)","country(country)","countrycod(countrycod)","stateprovi(stateprovi)","verbatimlo(verbatimlo)","decimallat(decimallat)","decimallon(decimallon)","georeferen(georeferen)","eventdate(eventdate)","year(year)","month(month)","day(day)","basisofrec(basisofrec)","institutio(institutio)","collection(collection)","catalognum(catalognum)","recordedby(recordedby)","recordnumb(recordnumb)","identified(identified)","dynamicpro(dynamicpro)","associated(associated)","modified_by(modified_by)","last_modification(last_modification)","featureid"
"1","1","Gleditsia triacanthos","(L.) Kuntze","Espina de cristo - Acacia de tres espinas - Acacia negra","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Gleditsia","triacanthos","NA","Uruguay","Uy","Paysandu","NA","-31.80787","-57.63193","Iturburu","2015","2015","NA","NA","NA","NA","NA","NA","Marcelo Iturburu","NA","Marcelo Iturburu","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","gleditsia_triacanthos.1"
"2","2","Gleditsia triacanthos","(L.) Kuntze","Espina de cristo - Acacia de tres espinas - Acacia negra","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Gleditsia","triacanthos","NA","Uruguay","Uy","Cerro Largo","NA","-32.28632","-54.02514","Iturburu","2016","2016","NA","NA","NA","NA","NA","NA","Marcelo Iturburu","NA","Marcelo Iturburu","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","gleditsia_triacanthos.2"
"3","3","Gleditsia triacanthos","(L.) Kuntze","Espina de cristo - Acacia de tres espinas - Acacia negra","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Gleditsia","triacanthos","NA","Uruguay","Uy","Paysandu","NA","-31.92744","-58.15865","Iturburu","2015","2015","NA","NA","NA","NA","NA","NA","Marcelo Iturburu","NA","Marcelo Iturburu","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","gleditsia_triacanthos.3"
"4","4","Gleditsia triacanthos","(L.) Kuntze","Espina de cristo - Acacia de tres espinas - Acacia negra","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Gleditsia","triacanthos","NA","Uruguay","Uy","Paysandu","NA","-31.7053","-58.01688","Iturburu","2015","2015","NA","NA","NA","NA","NA","NA","Marcelo Iturburu","NA","Marcelo Iturburu","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","gleditsia_triacanthos.4"
"5","5","Gleditsia triacanthos","(L.) Kuntze","Espina de cristo - Acacia de tres espinas - Acacia negra","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Gleditsia","triacanthos","NA","Uruguay","Uy","Paysandu","NA","-31.70529","-57.99649","Iturburu","2015","2015","NA","NA","NA","NA","NA","NA","Marcelo Iturburu","NA","Marcelo Iturburu","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","gleditsia_triacanthos.5"
"6","6","Gleditsia triacanthos","(L.) Kuntze","Espina de cristo - Acacia de tres espinas - Acacia negra","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Gleditsia","triacanthos","NA","Uruguay","Uy","Salto","NA","-31.39778","-57.95604","Iturburu","2015","2015","NA","NA","NA","NA","NA","NA","Marcelo Iturburu","NA","Marcelo Iturburu","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","gleditsia_triacanthos.6"
"7","7","Gleditsia triacanthos","(L.) Kuntze","Espina de cristo - Acacia de tres espinas - Acacia negra","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Gleditsia","triacanthos","NA","Uruguay","Uy","Salto","NA","-31.6538","-57.99763","Iturburu","2016","2016","NA","NA","NA","NA","NA","NA","Marcelo Iturburu","NA","Marcelo Iturburu","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","gleditsia_triacanthos.7"
"8","8","Gleditsia triacanthos","(L.) Kuntze","Espina de cristo - Acacia de tres espinas - Acacia negra","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Gleditsia","triacanthos","NA","Uruguay","Uy","Canelones","NA","-34.82931","-56.05123","Iturburu","2015","2015","NA","NA","NA","NA","NA","NA","Marcelo Iturburu","NA","Marcelo Iturburu","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","gleditsia_triacanthos.8"
"9","9","Gleditsia triacanthos","(L.) Kuntze","Espina de cristo - Acacia de tres espinas - Acacia negra","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Gleditsia","triacanthos","NA","Uruguay","Uy","San Jose","NA","-34.43923","-56.94297","Iturburu","2014","2014","NA","NA","NA","NA","NA","NA","Marcelo Iturburu","NA","Marcelo Iturburu","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","gleditsia_triacanthos.9"
"10","10","Gleditsia triacanthos","(L.) Kuntze","Espina de cristo - Acacia de tres espinas - Acacia negra","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Gleditsia","triacanthos","NA","Uruguay","Uy","Cerro Largo","NA","-31.96165","-53.9443","Iturburu","2015","2015","NA","NA","NA","NA","NA","NA","Marcelo Iturburu","NA","Marcelo Iturburu","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","gleditsia_triacanthos.10"
