"ogc_fid(ogc_fid)","occurrence(occurrence)","scientific(scientific)","scientif_1(scientif_1)","vernacular(vernacular)","kingdom(kingdom)","phylum(phylum)","class(class)","order(order)","family(family)","genus(genus)","specificep(specificep)","infraspeci(infraspeci)","country(country)","countrycod(countrycod)","stateprovi(stateprovi)","verbatimlo(verbatimlo)","decimallat(decimallat)","decimallon(decimallon)","georeferen(georeferen)","eventdate(eventdate)","year(year)","month(month)","day(day)","basisofrec(basisofrec)","institutio(institutio)","collection(collection)","catalognum(catalognum)","recordedby(recordedby)","recordnumb(recordnumb)","identified(identified)","dynamicpro(dynamicpro)","associated(associated)","modified_by(modified_by)","last_modification(last_modification)","featureid"
"1","1","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Colonia","NA","-34.42097","-57.83333","InvForestal","29/06/2016","2016","Junio","29","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.1"
"2","2","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Soriano","NA","-33.70447","-57.81413","InvForestal","26/05/2015","2015","Mayo","26","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.2"
"3","3","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Salto","NA","-30.97049","-57.81418","InvForestal","09/06/2015","2015","Junio","9","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.3"
"4","4","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Soriano","NA","-33.63621","-57.79456","InvForestal","27/05/2015","2015","Mayo","27","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.4"
"5","5","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Soriano","NA","-33.72154","-57.77363","InvForestal","26/05/2015","2015","Mayo","26","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.5"
"6","6","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Colonia","NA","-34.18282","-57.77431","InvForestal","04/04/2016","2016","Abril","4","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.6"
"7","7","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Colonia","NA","-33.99968","-57.75416","InvForestal","28/05/2015","2015","Mayo","28","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.7"
"8","8","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Salto","NA","-30.78185","-57.75491","InvForestal","13/07/2015","2015","Julio","13","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.8"
"9","9","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Colonia","NA","-34.14875","-57.71288","InvForestal","05/04/2016","2016","Abril","5","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.9"
"10","10","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Paysandú","NA","-31.60278","-57.67313","InvForestal","30/09/2015","2015","Setiembre","30","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.10"
"11","11","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Artigas","NA","-30.23777","-57.61183","InvForestal","12/07/2015","2015","Julio","12","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.11"
"12","12","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Artigas","NA","-30.3554","-57.59132","InvForestal","14/09/2015","2015","Setiembre","14","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.12"
"13","13","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Paysandú","NA","-32.422861","-57.550722","InvForestal","15/11/2011","2011","Noviembre","15","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.13"
"14","14","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Soriano","NA","-33.87539","-57.53062","InvForestal","01/06/2016","2016","Junio","1","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.14"
"15","15","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Colonia","NA","-33.99474","-57.5302","InvForestal","11/04/2016","2016","Abril","11","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.15"
"16","16","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Colonia","NA","-34.37083","-57.51028","InvForestal","10/04/2016","2016","Abril","10","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.16"
"17","17","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Colonia","NA","-34.3881","-57.51028","InvForestal","10/04/2016","2016","Abril","10","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.17"
"18","18","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Colonia","NA","-34.07988","-57.40873","InvForestal","27/05/2016","2016","Mayo","27","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.18"
