"ogc_fid","occurrence(occurrence)","scientific(scientific)","scientif_1(scientif_1)","vernacular(vernacular)","kingdom(kingdom)","phylum(phylum)","class(class)","order(order)","family(family)","genus(genus)","infraspeci(infraspeci)","georeferen(georeferen)","year(year)","month(month)","day(day)","institutio(institutio)","collection(collection)","identified(identified)","associated(associated)","specificep(specificep)","country(country)","countrycod(countrycod)","stateprovi(stateprovi)","verbatimlo(verbatimlo)","decimallat(decimallat)","decimallon(decimallon)","eventdate(eventdate)","basisofrec(basisofrec)","catalognum(catalognum)","recordedby(recordedby)","recordnumb(recordnumb)","dynamicpro(dynamicpro)","modified_by(modified_by)","last_modification(last_modification)","featureid"
"1","1","Lithobates catesbeianus","Shaw, 1802","Rana toro","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","NA","NA","NA","NA","NA","NA","NA","NA","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","catesbeianus","Uruguay","Uy","Cerro Largo","Acegu�","-31.894722","-54.154694","NA","NA","NA","NA","NA","Ex�tica invasora","","","lithobates_catesbeianus.1"
"2","2","Lithobates catesbeianus","Shaw, 1802","Rana toro","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","NA","NA","NA","NA","NA","NA","NA","NA","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","catesbeianus","Uruguay","Uy","Cerro Largo","Acegu�","-31.881194","-54.170306","NA","NA","NA","NA","NA","Ex�tica invasora","","","lithobates_catesbeianus.2"
"3","3","Lithobates catesbeianus","Shaw, 1802","Rana toro","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","NA","NA","NA","NA","NA","NA","NA","NA","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","catesbeianus","Uruguay","Uy","Cerro Largo","Acegu�","-31.881417","-54.173528","NA","NA","NA","NA","NA","Ex�tica invasora","","","lithobates_catesbeianus.3"
"4","4","Lithobates catesbeianus","Shaw, 1802","Rana toro","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","NA","NA","NA","NA","NA","NA","NA","NA","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","catesbeianus","Uruguay","Uy","Cerro Largo","Acegu�","-31.88475","-54.167167","NA","NA","NA","NA","NA","Ex�tica invasora","","","lithobates_catesbeianus.4"
"5","5","Lithobates catesbeianus","Shaw, 1802","Rana toro","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","NA","NA","NA","NA","NA","NA","NA","NA","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","catesbeianus","Uruguay","Uy","Cerro Largo","Acegu�","-31.887583","-54.164917","NA","NA","NA","NA","NA","Ex�tica invasora","","","lithobates_catesbeianus.5"
"6","6","Lithobates catesbeianus","Shaw, 1802","Rana toro","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","NA","NA","NA","NA","NA","NA","NA","NA","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","catesbeianus","Uruguay","Uy","Cerro Largo","Acegu�","-31.88075","-54.163389","NA","NA","NA","NA","NA","Ex�tica invasora","","","lithobates_catesbeianus.6"
"7","7","Lithobates catesbeianus","Shaw, 1802","Rana toro","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","NA","NA","NA","NA","NA","NA","NA","NA","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","catesbeianus","Uruguay","Uy","Cerro Largo","Acegu�","-31.877111","-54.165389","NA","NA","NA","NA","NA","Ex�tica invasora","","","lithobates_catesbeianus.7"
"8","8","Lithobates catesbeianus","Shaw, 1802","Rana toro","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","NA","NA","NA","NA","NA","NA","NA","NA","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","catesbeianus","Uruguay","Uy","Cerro Largo","Acegu�","-31.876194","-54.170444","NA","NA","NA","NA","NA","Ex�tica invasora","","","lithobates_catesbeianus.8"
"9","9","Lithobates catesbeianus","Shaw, 1802","Rana toro","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","NA","NA","NA","NA","NA","NA","NA","NA","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","catesbeianus","Uruguay","Uy","Cerro Largo","Acegu�","-31.895917","-54.149917","NA","NA","NA","NA","NA","Ex�tica invasora","","","lithobates_catesbeianus.9"
"10","10","Lithobates catesbeianus","Shaw, 1802","Rana toro","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","NA","NA","NA","NA","NA","NA","NA","NA","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","catesbeianus","Uruguay","Uy","Cerro Largo","Acegu�","-31.893889","-54.158944","NA","NA","NA","NA","NA","Ex�tica invasora","","","lithobates_catesbeianus.10"
