"ogc_fid(ogc_fid)","nombre_cie(nombre_cie)","latitud(latitud)","longitud(longitud)","localidad(localidad)","fecha_regi(fecha_regi)","origen_geo(origen_geo)","field_7(field_7)","modified_by(modified_by)","last_modification(last_modification)","featureid"
"1","Rubus ulmifolius","-34.66028","-56.34389","Las Brujas","2009","Europa mediterránea","Inbuy","","","rubus_ulmifolius.1"
"2","Rubus ulmifolius","-33.6737","-54.39918","Aigua","1960","Europa mediterránea","Inbuy","","","rubus_ulmifolius.2"
"3","Rubus ulmifolius","-33.73836","-53.72149","Rocha","2014","Europa mediterránea","Forestal","","","rubus_ulmifolius.3"
"4","Rubus ulmifolius","-34.29383","-54.57867","Maldonado","2009","Europa mediterránea","Forestal","","","rubus_ulmifolius.4"
"5","Rubus ulmifolius","-34.23418","-54.5169","Maldonado","2009","Europa mediterránea","Forestal","","","rubus_ulmifolius.5"
"6","Rubus ulmifolius","-34.2569","-54.51995","Maldonado","2009","Europa mediterránea","Forestal","","","rubus_ulmifolius.6"
"7","Rubus ulmifolius","-34.4905","-56.63905","San Jose","2014","Europa mediterránea","Forestal","","","rubus_ulmifolius.7"
"8","Rubus ulmifolius","-34.28559","-56.67971","San Jose","2015","Europa mediterránea","Forestal","","","rubus_ulmifolius.8"
"9","Rubus ulmifolius","-34.43925","-56.65934","San Jose","2015","Europa mediterránea","Forestal","","","rubus_ulmifolius.9"
"10","Rubus ulmifolius","-34.45708","-56.6597","San Jose","2015","Europa mediterránea","Forestal","","","rubus_ulmifolius.10"
"11","Rubus ulmifolius","-34.47721","-56.6487","San Jose","2015","Europa mediterránea","Forestal","","","rubus_ulmifolius.11"
"12","Rubus ulmifolius","-34.5589","-56.53786","San Jose","2015","Europa mediterránea","Forestal","","","rubus_ulmifolius.12"
"13","Rubus ulmifolius","-34.66109","-56.47713","San Jose","2015","Europa mediterránea","Forestal","","","rubus_ulmifolius.13"
"14","Rubus ulmifolius","-34.59303","-56.4974","San Jose","2015","Europa mediterránea","Forestal","","","rubus_ulmifolius.14"
"15","Rubus ulmifolius","-34.25116","-57.18591","Colonia","2016","Europa mediterránea","Forestal","","","rubus_ulmifolius.15"
"16","Rubus ulmifolius","-33.91054","-56.72041","Flores","2016","Europa mediterránea","Forestal","","","rubus_ulmifolius.16"
