"ogc_fid(ogc_fid)","nombre(nombre)","latitud(latitud)","longitud(longitud)","localidad(localidad)","fecha(fecha)","origen(origen)","fuente(fuente)","modified_by(modified_by)","last_modification(last_modification)","featureid"
"1","Ulex europaeus","-34.5528","-55.9264","Canelones","0","Europa centro occidental y Norte de África","InBuy","","","ulex_europaeus.1"
"2","Ulex europaeus","-34.3744","-55.2244","Minas","0","Europa centro occidental y Norte de África","InBuy","","","ulex_europaeus.2"
"3","Ulex europaeus","-34.5756","-54.8575","El Jagúel","0","Europa centro occidental y Norte de África","InBuy","","","ulex_europaeus.3"
"4","Ulex europaeus","-34.1339","-57.6739","Colonia","0","Europa centro occidental y Norte de África","InBuy","","","ulex_europaeus.4"
"5","Ulex europaeus","-33.7639","-55.9138","Florida","0","Europa centro occidental y Norte de África","InBuy","","","ulex_europaeus.5"
"6","Ulex europaeus","-34.8903","-56.1597","Montevideo","0","Europa centro occidental y Norte de África","InBuy","","","ulex_europaeus.6"
"7","Ulex europaeus","-32.4417","-54.3269","Cerro Largo","0","Europa centro occidental y Norte de África","InBuy","","","ulex_europaeus.7"
"8","Ulex europaeus","-31.4919","-55.2317","Rivera","0","Europa centro occidental y Norte de África","InBuy","","","ulex_europaeus.8"
"9","Ulex europaeus","-34.3117","-56.7161","San José","0","Europa centro occidental y Norte de África","InBuy","","","ulex_europaeus.9"
"10","Ulex europaeus","-33.5122","-57.7636","Soriano","0","Europa centro occidental y Norte de África","InBuy","","","ulex_europaeus.10"
"11","Ulex europaeus","-32.135","-55.7739","Tacuarembó","0","Europa centro occidental y Norte de África","InBuy","","","ulex_europaeus.11"
"12","Ulex europaeus","-33.0497","-54.2219","Treinta y Tres","0","Europa centro occidental y Norte de África","InBuy","","","ulex_europaeus.12"
"13","Ulex europaeus","-33.5353","-54.9336","Zapicán","0","Europa centro occidental y Norte de África","InBuy","","","ulex_europaeus.13"
"14","Ulex europaeus","-32.65","-54.25","Arbolito","0","Europa centro occidental y Norte de África","InBuy","","","ulex_europaeus.14"
